County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Teton County,Montana,6073,45.8,4659,1261,2995,3078,"(47.799950000000003, -112.26752)"
Toole County,Montana,5324,41.5,4221,739,2966,2358,"(48.649990000000003, -111.63418)"
Treasure County,Montana,718,51.5,584,171,369,349,"(46.233319999999999, -107.28395)"
Valley County,Montana,7369,46.4,5662,1525,3664,3705,"(48.433349999999997, -106.6506)"
Wheatland County,Montana,2168,44.9,1655,448,1069,1099,"(46.449959999999997, -109.83407)"
Wibaux County,Montana,1017,49,800,243,513,504,"(47.016680000000001, -104.18382)"
Yellowstone County,Montana,147972,38.299999999999997,112932,20868,72385,75587,"(45.916620000000002, -108.30068)"
Adams County,Nebraska,31364,37.9,23847,4838,15600,15764,"(40.533349999999999, -98.500900000000001)"
Antelope County,Nebraska,6685,46.6,5111,1404,3329,3356,"(42.166670000000003, -98.067009999999996)"
Arthur County,Nebraska,460,41.4,335,94,228,232,"(41.566650000000003, -101.70045)"
Banner County,Nebraska,690,48.1,536,136,354,336,"(41.549970000000002, -103.71717)"
Blaine County,Nebraska,478,46.1,361,95,247,231,"(41.916670000000003, -99.967070000000007)"
Boone County,Nebraska,5505,45.5,4201,1164,2749,2756,"(41.700009999999999, -98.083669999999998)"
Box Butte County,Nebraska,11308,41.3,8459,1713,5541,5767,"(42.2333, -103.08381)"
Boyd County,Nebraska,2099,50.2,1648,557,1038,1061,"(42.9, -98.783699999999996)"
Brown County,Nebraska,3145,47.9,2464,757,1531,1614,"(42.433329999999998, -99.950400000000002)"
Buffalo County,Nebraska,46102,32.1,35033,5578,22838,23264,"(40.850009999999997, -99.083699999999993)"
Burt County,Nebraska,6858,47.1,5314,1585,3361,3497,"(41.849989999999998, -96.350300000000004)"
Butler County,Nebraska,8395,44.3,6315,1603,4211,4184,"(41.233350000000002, -97.133650000000003)"
Cass County,Nebraska,25241,41.1,18848,3603,12664,12577,"(40.916670000000003, -96.133619999999993)"
Cedar County,Nebraska,8852,44.4,6602,1804,4500,4352,"(42.6, -97.266999999999996)"
Chase County,Nebraska,3966,43.6,3022,810,1965,2001,"(40.533329999999999, -101.70045)"
Cherry County,Nebraska,5713,45.4,4448,1190,2844,2869,"(42.55, -101.10043)"
Cheyenne County,Nebraska,9998,40.4,7604,1592,4966,5032,"(41.216650000000001, -103.00104)"
Clay County,Nebraska,6542,43.2,4892,1168,3277,3265,"(40.533340000000003, -98.050330000000002)"
Colfax County,Nebraska,10515,34.200000000000003,7452,1428,5426,5089,"(41.566670000000002, -97.083650000000006)"
Cuming County,Nebraska,9139,43.7,6857,1901,4532,4607,"(41.916670000000003, -96.783649999999994)"
Custer County,Nebraska,10939,45.4,8353,2283,5427,5512,"(41.4, -99.88373)"
Dakota County,Nebraska,21006,32.799999999999997,14688,2391,10489,10517,"(42.4, -96.566980000000001)"
Dawes County,Nebraska,9182,33,7416,1500,4559,4623,"(42.716639999999998, -103.13379999999999)"
Dawson County,Nebraska,24326,36.200000000000003,17377,3373,12293,12033,"(40.866669999999999, -99.817059999999998)"
Deuel County,Nebraska,1941,48.3,1533,460,954,987,"(41.116660000000003, -102.3338)"
Dixon County,Nebraska,6000,42.1,4463,1070,2964,3036,"(42.516660000000002, -96.816980000000001)"
Dodge County,Nebraska,36691,40.299999999999997,27923,6740,17963,18728,"(41.566670000000002, -96.63364)"
Douglas County,Nebraska,517110,33.5,382391,54875,254164,262946,"(41.3, -96.166970000000006)"
Dundy County,Nebraska,2008,47.9,1562,461,1006,1002,"(40.16666, -101.66712)"
Fillmore County,Nebraska,5890,46.3,4486,1316,2893,2997,"(40.533340000000003, -97.60033)"
Franklin County,Nebraska,3225,48.4,2529,772,1613,1612,"(40.166679999999999, -98.950360000000003)"
Frontier County,Nebraska,2756,43.1,2162,523,1399,1357,"(40.55001, -100.40042)"
Furnas County,Nebraska,4959,47.4,3803,1127,2423,2536,"(40.166670000000003, -99.917069999999995)"
Gage County,Nebraska,22311,43.7,17186,4326,10952,11359,"(40.266669999999998, -96.683639999999997)"
Garden County,Nebraska,2057,49.8,1675,560,1043,1014,"(41.633310000000002, -102.31713999999999)"
Garfield County,Nebraska,2049,50.3,1618,555,1003,1046,"(41.916670000000003, -98.983710000000002)"
Gosper County,Nebraska,2044,47.1,1586,431,1024,1020,"(40.533340000000003, -99.833730000000003)"
Grant County,Nebraska,614,48.2,499,119,336,278,"(41.94999, -101.75100999999999)"
Greeley County,Nebraska,2538,46.4,1941,585,1280,1258,"(41.566679999999998, -98.533690000000007)"
Hall County,Nebraska,58607,35.799999999999997,42630,7850,29287,29320,"(40.866680000000002, -98.500900000000001)"
Hamilton County,Nebraska,9124,42.3,6785,1499,4564,4560,"(40.866680000000002, -97.983670000000004)"
Harlan County,Nebraska,3423,49.2,2686,805,1723,1700,"(40.166679999999999, -99.400379999999998)"
Hayes County,Nebraska,967,47.7,744,191,510,457,"(40.533340000000003, -101.05043000000001)"
Hitchcock County,Nebraska,2908,48.2,2287,665,1446,1462,"(40.16666, -101.05043999999999)"
Holt County,Nebraska,10435,46.1,7986,2143,5189,5246,"(42.45, -98.767039999999994)"
Hooker County,Nebraska,736,50.1,579,193,346,390,"(41.91666, -101.15044)"
Howard County,Nebraska,6274,43.3,4731,1175,3191,3083,"(41.216679999999997, -98.517020000000002)"
Jefferson County,Nebraska,7547,46.8,5939,1661,3717,3830,"(40.166670000000003, -97.150310000000005)"
Johnson County,Nebraska,5217,43.3,4230,919,3015,2202,"(40.4, -96.266959999999997)"
Kearney County,Nebraska,6489,43.3,4917,1187,3187,3302,"(40.500570000000003, -98.950360000000003)"
Keith County,Nebraska,8368,47.3,6563,1772,4196,4172,"(41.19999, -101.65045000000001)"
Keya Paha County,Nebraska,824,50.7,645,211,415,409,"(42.816049999999997, -99.688569999999999)"
Kimball County,Nebraska,3821,46,2964,844,1903,1918,"(41.199979999999996, -103.71716000000001)"
Knox County,Nebraska,8701,46.6,6605,1979,4262,4439,"(42.633339999999997, -97.883679999999998)"
Lancaster County,Nebraska,285407,32.6,219506,31101,143048,142359,"(40.783329999999999, -96.683629999999994)"
Lincoln County,Nebraska,36288,39.200000000000003,27203,5648,17941,18347,"(41.05, -100.76709)"
Logan County,Nebraska,763,43.3,571,139,381,382,"(41.566659999999999, -100.48375)"
Loup County,Nebraska,632,48.5,491,137,324,308,"(41.916670000000003, -99.467060000000004)"
McPherson County,Nebraska,539,43.6,388,97,277,262,"(41.566659999999999, -101.0671)"
Madison County,Nebraska,34876,37.1,26149,5124,17314,17562,"(41.916670000000003, -97.60033)"
Merrick County,Nebraska,7845,42.5,5900,1416,3880,3965,"(41.150010000000002, -98.083669999999998)"
Morrill County,Nebraska,5042,43.4,3832,981,2517,2525,"(41.716639999999998, -103.01715)"
Nance County,Nebraska,3735,45,2859,712,1873,1862,"(41.400010000000002, -98.000889999999998)"
Nemaha County,Nebraska,7248,41,5682,1303,3541,3707,"(40.4, -95.850279999999998)"
Nuckolls County,Nebraska,4500,49.5,3544,1174,2227,2273,"(40.133339999999997, -98.016990000000007)"
Otoe County,Nebraska,15740,42.9,11950,2971,7714,8026,"(40.633330000000001, -96.133619999999993)"
Pawnee County,Nebraska,2773,49.3,2162,720,1378,1395,"(40.133330000000001, -96.233620000000002)"
Perkins County,Nebraska,2970,43.9,2235,602,1499,1471,"(40.833329999999997, -101.58378)"
Phelps County,Nebraska,9188,42.8,6930,1746,4545,4643,"(40.516680000000001, -99.417050000000003)"
Pierce County,Nebraska,7266,42.2,5381,1304,3669,3597,"(42.266669999999998, -97.600340000000003)"
Platte County,Nebraska,32237,38.200000000000003,23723,4802,16141,16096,"(41.55001, -97.48366)"
Polk County,Nebraska,5406,45.3,4088,1069,2696,2710,"(41.183349999999997, -97.533659999999998)"
Red Willow County,Nebraska,11055,41.8,8517,2072,5483,5572,"(40.166670000000003, -100.48376)"
Richardson County,Nebraska,8363,47.1,6566,1916,4132,4231,"(40.15, -95.700270000000003)"
Rock County,Nebraska,1526,49.9,1217,355,763,763,"(42.433329999999998, -99.433729999999997)"
Saline County,Nebraska,14200,36.4,10729,2075,7137,7063,"(40.533340000000003, -97.150319999999994)"
Sarpy County,Nebraska,158840,32.9,113118,13544,78886,79954,"(41.1, -96.133629999999997)"
Saunders County,Nebraska,20780,41.5,15406,3220,10516,10264,"(41.216670000000001, -96.616969999999995)"
Scotts Bluff County,Nebraska,36970,39,27818,6215,17813,19157,"(41.866630000000001, -103.70050000000001)"
Seward County,Nebraska,16750,38,12788,2545,8527,8223,"(40.866680000000002, -97.150319999999994)"
Sheridan County,Nebraska,5469,46.1,4176,1212,2654,2815,"(42.516640000000002, -102.41714)"
Sherman County,Nebraska,3152,47.8,2445,736,1549,1603,"(41.216679999999997, -98.983699999999999)"
Sioux County,Nebraska,1311,47.8,1018,280,673,638,"(42.466630000000002, -103.76716)"
Stanton County,Nebraska,6129,38.6,4445,865,3031,3098,"(41.916670000000003, -97.18365)"
Thayer County,Nebraska,5228,49.2,4111,1347,2551,2677,"(40.166670000000003, -97.600319999999996)"
Thomas County,Nebraska,647,46.7,499,135,328,319,"(41.933329999999998, -100.55042)"
Thurston County,Nebraska,6940,29.4,4473,825,3446,3494,"(42.16666, -96.516980000000004)"
Valley County,Nebraska,4260,46.9,3319,1006,2109,2151,"(41.566679999999998, -98.983699999999999)"
Washington County,Nebraska,20234,40.799999999999997,15142,2841,10077,10157,"(41.549990000000001, -96.266959999999997)"
Wayne County,Nebraska,9595,29.2,7733,1315,4816,4779,"(42.2, -97.150329999999997)"
Webster County,Nebraska,3812,47.2,2951,902,1821,1991,"(40.166679999999999, -98.500889999999998)"
Wheeler County,Nebraska,818,46.1,617,155,412,406,"(41.916670000000003, -98.533690000000007)"
York County,Nebraska,13665,42.2,10607,2489,6670,6995,"(40.866680000000002, -97.60033)"
Churchill County,Nevada,24877,39,18603,3781,12508,12369,"(39.5002, -118.25124)"
Clark County,Nevada,1951269,35.5,1462651,220445,982193,969076,"(36.000259999999997, -114.87609999999999)"
Douglas County,Nevada,46997,47.4,37512,9479,23481,23516,"(38.875190000000003, -119.62627999999999)"
Elko County,Nevada,48818,33.4,34588,4143,25354,23464,"(41.0002, -115.50117)"
Esmeralda County,Nevada,783,52.9,651,202,434,349,"(37.750210000000003, -117.6262)"
Eureka County,Nevada,1987,42.4,1506,257,1048,939,"(40.0002, -116.12618000000001)"
Humboldt County,Nevada,16528,36.200000000000003,12004,1692,8654,7874,"(41.50018, -118.00126)"
Lander County,Nevada,5775,37.1,4181,681,2928,2847,"(39.8752, -116.8762)"
Lincoln County,Nevada,5345,39.9,3908,968,2877,2468,"(38.000239999999998, -114.87612)"
Lyon County,Nevada,51980,40.9,39052,8215,26178,25802,"(39.0002, -119.12626)"
Mineral County,Nevada,4772,49.2,3898,1076,2350,2422,"(38.5002, -118.37624)"
Nye County,Nevada,43946,48.4,34858,10301,22186,21760,"(38.000210000000003, -116.50117)"
Pershing County,Nevada,6753,41,5431,875,4268,2485,"(40.375190000000003, -118.12625)"
Storey County,Nevada,4010,50.5,3309,738,2044,1966,"(39.375190000000003, -119.50129)"
Washoe County,Nevada,421407,37,322075,50879,212744,208663,"(40.75018, -119.62631)"
White Pine County,Nevada,10030,40.799999999999997,7857,1494,5681,4349,"(39.449939999999998, -114.83419000000001)"
Carson City,Nevada,55274,41.7,43459,9133,28688,26586,"(39.164619999999999, -119.77630000000001)"
Belknap County,New Hampshire,60088,44.7,47607,10057,29480,30608,"(43.516739999999999, -71.432850000000002)"
Carroll County,New Hampshire,47818,48.3,38901,9838,23686,24132,"(43.86674, -71.216179999999994)"
Cheshire County,New Hampshire,77117,40.700000000000003,62005,11342,37601,39516,"(42.933410000000002, -72.266199999999998)"
Coos County,New Hampshire,33055,46.4,26803,6399,16802,16253,"(44.633389999999999, -71.316190000000006)"
Grafton County,New Hampshire,89118,41.2,72734,13811,44071,45047,"(43.950069999999997, -71.799530000000004)"
Hillsborough County,New Hampshire,400721,39.299999999999997,306639,47527,198162,202559,"(42.933419999999998, -71.716189999999997)"
Merrimack County,New Hampshire,146445,41.4,114499,20008,72073,74372,"(43.300080000000001, -71.682850000000002)"
Rockingham County,New Hampshire,295223,42.2,227785,37424,145886,149337,"(42.966749999999998, -71.099500000000006)"
Strafford County,New Hampshire,123143,36.9,97723,14645,60012,63131,"(43.316749999999999, -71.049509999999998)"
Sullivan County,New Hampshire,43742,43.9,34540,7217,21621,22121,"(43.36674, -72.232870000000005)"
Atlantic County,New Jersey,274549,39.9,210661,38902,133175,141374,"(39.46678, -74.666269999999997)"
Bergen County,New Jersey,905116,41.1,700711,137103,435962,469154,"(40.933430000000001, -74.049580000000006)"
Burlington County,New Jersey,448734,40.4,344491,62190,220534,228200,"(39.883450000000003, -74.641270000000006)"
Camden County,New Jersey,513657,37.9,388540,65725,247759,265898,"(39.783450000000002, -74.966279999999998)"
Cape May County,New Jersey,97265,47.1,78916,20977,47287,49978,"(39.150109999999998, -74.782939999999996)"
Cumberland County,New Jersey,156898,36.5,119193,19795,80808,76090,"(39.350110000000001, -75.08296)"
Essex County,New Jersey,783969,36.4,589051,90287,375964,408005,"(40.783430000000003, -74.216260000000005)"
Gloucester County,New Jersey,288288,38.700000000000003,218027,35699,139969,148319,"(39.733449999999998, -75.132949999999994)"
Hudson County,New Jersey,634266,34.200000000000003,503104,66066,313787,320479,"(40.716769999999997, -74.066249999999997)"
Hunterdon County,New Jersey,128349,43.5,98132,16344,64103,64246,"(40.566769999999998, -74.932950000000005)"
Mercer County,New Jersey,366513,37.799999999999997,283531,46347,179033,187480,"(40.38344, -74.882940000000005)"
Middlesex County,New Jersey,809858,37.200000000000003,624401,99462,397485,412373,"(40.433439999999997, -74.399590000000003)"
Monmouth County,New Jersey,630380,41.3,480081,86691,306654,323726,"(40.300109999999997, -74.166250000000005)"
Morris County,New Jersey,492276,41.3,374581,68155,241022,251254,"(40.83343, -74.532929999999993)"
Ocean County,New Jersey,576567,42.6,441648,121104,276302,300265,"(39.900120000000001, -74.216250000000002)"
Passaic County,New Jersey,501226,36.1,376613,60324,243124,258102,"(41.066800000000001, -74.365700000000004)"
Salem County,New Jersey,66083,40.799999999999997,50573,9917,32178,33905,"(39.566780000000001, -75.316299999999998)"
Somerset County,New Jersey,323444,40.200000000000003,242609,40002,157624,165820,"(40.566769999999998, -74.549599999999998)"
Sussex County,New Jersey,149265,41.8,113492,17850,74070,75195,"(41.183430000000001, -74.666269999999997)"
Union County,New Jersey,536499,38,405241,67761,259932,276567,"(40.63344, -74.266260000000003)"
Warren County,New Jersey,108692,41.5,83084,15292,52828,55864,"(40.83343, -74.949619999999996)"
Bernalillo County,New Mexico,662564,35.799999999999997,503434,81014,324460,338104,"(35.050049999999999, -106.66725)"
Catron County,New Mexico,3725,55.8,3135,1041,1947,1778,"(34.522539999999999, -109.04592)"
Chaves County,New Mexico,65645,34.700000000000003,47262,9293,32482,33163,"(33.383429999999997, -104.45052)"
Cibola County,New Mexico,27213,36.6,20379,3486,13769,13444,"(34.860869999999998, -109.0587)"
Colfax County,New Mexico,13750,46.7,10911,2758,7003,6747,"(36.875579999999999, -105.12611)"
Curry County,New Mexico,48376,31.5,34659,5526,24288,24088,"(34.952840000000002, -103.25189)"
De Baca County,New Mexico,2022,47.8,1571,463,992,1030,"(34.258409999999998, -104.37609)"
Doña Ana County,New Mexico,209233,32.4,153375,25881,102569,106664,"(33.000639999999997, -106.37611)"
Eddy County,New Mexico,53829,37.299999999999997,39794,7541,26879,26950,"(32.875660000000003, -104.75108)"
Grant County,New Mexico,29514,45.9,23041,6299,14487,15027,"(32.783410000000003, -108.38394)"
Guadalupe County,New Mexico,4687,40.1,3666,728,2648,2039,"(35.125610000000002, -105.25112)"
Harding County,New Mexico,695,55.9,603,203,367,328,"(36.125590000000003, -104.37609)"
Hidalgo County,New Mexico,4894,40.9,3632,815,2455,2439,"(32.697850000000003, -109.02673)"
Lea County,New Mexico,64727,31.9,45699,6991,33045,31682,"(32.80012, -103.46716000000001)"
Lincoln County,New Mexico,20497,49.4,16609,4505,10068,10429,"(34.250630000000001, -105.25111)"
Los Alamos County,New Mexico,17950,44.3,13602,2686,9029,8921,"(35.877800000000001, -106.29225)"
Luna County,New Mexico,25095,39.5,18450,4907,12474,12621,"(32.590359999999997, -107.97587)"
McKinley County,New Mexico,71492,30.7,49119,6813,34620,36872,"(35.900010000000002, -109.03398)"
Mora County,New Mexico,4881,46,3839,915,2498,2383,"(35.9375, -104.94167)"
Otero County,New Mexico,63797,36.5,47836,9552,32194,31603,"(32.533430000000003, -105.7672)"
Quay County,New Mexico,9041,45.6,7073,1865,4456,4585,"(35.041670000000003, -103.54222)"
Rio Arriba County,New Mexico,40246,39,30333,5659,19890,20356,"(36.533349999999999, -106.70059000000001)"
Roosevelt County,New Mexico,19846,29.7,14576,2363,9989,9857,"(33.966749999999998, -103.45050999999999)"
Sandoval County,New Mexico,131561,37.9,96402,15880,64321,67240,"(35.650030000000001, -106.85059)"
San Juan County,New Mexico,130044,33,92393,14083,64544,65500,"(36.999160000000003, -109.04094000000001)"
San Miguel County,New Mexico,29393,40.700000000000003,22931,4469,14661,14732,"(35.483379999999997, -104.88388)"
Santa Fe County,New Mexico,144170,43,113934,21804,70257,73913,"(35.5167, -105.95058)"
Sierra County,New Mexico,11988,54.5,10060,3674,6027,5961,"(33.11674, -107.30058)"
Socorro County,New Mexico,17866,36.9,13596,2533,9172,8694,"(34.0334, -106.88392)"
Taos County,New Mexico,32937,45.2,26155,5627,16211,16726,"(36.566690000000001, -105.66723)"
Torrance County,New Mexico,16383,41.6,12432,2326,8450,7933,"(34.633400000000002, -105.81723)"
Union County,New Mexico,4549,40.9,3619,813,2593,1956,"(36.450029999999998, -103.46717)"
Valencia County,New Mexico,76569,37.700000000000003,56387,9742,38576,37993,"(34.73339, -106.81725)"
Albany County,New York,304204,38.5,243573,42314,147076,157128,"(42.600079999999998, -73.966239999999999)"
