County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Cook County,Illinois,5194675,35.299999999999997,3962395,620329,2514314,2680361,"(41.833359999999999, -87.850059999999999)"
Crawford County,Illinois,19817,41.7,15764,3336,10287,9530,"(39.016710000000003, -87.766689999999997)"
Cumberland County,Illinois,11048,40.9,8450,1838,5517,5531,"(39.2667, -88.250600000000006)"
DeKalb County,Illinois,105160,29.3,81670,10337,52530,52630,"(41.916699999999999, -88.750360000000001)"
De Witt County,Illinois,16561,41.7,12739,2768,8201,8360,"(40.166699999999999, -88.916749999999993)"
Douglas County,Illinois,19980,38.700000000000003,14806,3154,9847,10133,"(39.7667, -88.216710000000006)"
DuPage County,Illinois,916924,38.200000000000003,689494,106398,449351,467573,"(41.833359999999999, -88.083399999999997)"
Edgar County,Illinois,18576,43.2,14455,3469,9008,9568,"(39.666699999999999, -87.750579999999999)"
Edwards County,Illinois,6721,42.7,5185,1191,3318,3403,"(38.416719999999998, -88.050039999999996)"
Effingham County,Illinois,34242,39.200000000000003,25800,5196,17009,17233,"(39.050040000000003, -88.583380000000005)"
Fayette County,Illinois,22140,39.9,17164,3580,11644,10496,"(39.016710000000003, -89.0334)"
Ford County,Illinois,14081,42.4,10734,2633,6854,7227,"(40.583370000000002, -88.250609999999995)"
Franklin County,Illinois,39561,41.8,30600,7278,19342,20219,"(38.000610000000002, -88.933400000000006)"
Fulton County,Illinois,37069,41.9,29316,6692,19153,17916,"(40.466709999999999, -90.183449999999993)"
Gallatin County,Illinois,5589,44.4,4405,1145,2724,2865,"(37.766710000000003, -88.233369999999994)"
Greene County,Illinois,13886,41.6,10688,2388,7014,6872,"(39.350050000000003, -90.400120000000001)"
Grundy County,Illinois,50063,36.1,36406,5546,24977,25086,"(41.283369999999998, -88.416730000000001)"
Hamilton County,Illinois,8457,43.1,6526,1671,4131,4326,"(38.06671, -88.550049999999999)"
Hancock County,Illinois,19104,44.6,14907,3786,9390,9714,"(40.516710000000003, -91.150139999999993)"
Hardin County,Illinois,4320,46.3,3444,878,2147,2173,"(37.516669999999998, -88.266670000000005)"
Henderson County,Illinois,7331,47.2,5838,1532,3614,3717,"(40.81671, -90.900139999999993)"
Henry County,Illinois,50486,41.8,38391,8624,25112,25374,"(41.35004, -90.150120000000001)"
Iroquois County,Illinois,29718,43.4,22703,5627,14519,15199,"(40.750590000000003, -87.833370000000002)"
Jackson County,Illinois,60218,29.1,49480,7002,30676,29542,"(37.766719999999999, -89.350089999999994)"
Jasper County,Illinois,9698,42.7,7494,1689,4832,4866,"(39.000599999999999, -88.166709999999995)"
Jefferson County,Illinois,38827,40.6,30231,6288,19945,18882,"(38.300049999999999, -88.933400000000006)"
Jersey County,Illinois,22985,40.5,17746,3605,11255,11730,"(39.06671, -90.350110000000001)"
Jo Daviess County,Illinois,22678,47.1,17963,4832,11377,11301,"(42.350009999999997, -90.183459999999997)"
